Especie;Raza;Categoria;PV;ingmax;Nm;Nd;Nl;Ngest;fcr;fcs;EGKg;UGM;Kml1;Km2;Kl2;KG1;KG2
2;3;4;1000;25.00;67.40;16.90;0.00;0.00;0.85;0.85;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;4;1;480;12.50;35.90;9.00;15.66;0.00;1.00;1.15;26.00;1.00;0.28;0.50;0.42;0.26;0.42
2;4;2;480;12.00;35.90;9.00;0.00;3.00;1.00;1.15;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;4;3;335;8.40;27.10;6.80;0.00;2.10;1.00;1.15;15.50;0.60;0.28;0.50;0.42;0.62;6.0e-03
2;4;4;720;18.00;53.40;13.40;0.00;0.00;1.00;0.85;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;5;1;419;11.00;32.60;8.10;15.66;0.00;0.85;1.15;26.00;1.00;0.28;0.50;0.42;0.26;0.42
2;5;2;420;10.50;32.60;8.20;0.00;2.60;0.85;1.15;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;5;3;290;7.30;24.50;6.10;0.00;1.80;0.85;1.15;14.10;0.60;0.28;0.50;0.42;0.62;6.0e-03
2;5;4;800;20.00;57.50;14.40;0.00;0.00;0.85;0.85;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;6;1;500;13.00;36.90;9.20;15.66;0.00;1.00;1.15;26.00;1.00;0.28;0.50;0.42;0.26;0.42
2;6;2;500;12.50;36.90;9.20;0.00;3.10;1.00;1.15;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;6;3;335;8.40;27.10;6.80;0.00;2.10;1.00;1.15;15.50;0.60;0.28;0.50;0.42;0.62;6.0e-03
2;6;4;800;20.00;57.50;14.40;0.00;0.00;1.00;0.85;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;7;1;450;11.80;34.30;8.60;15.66;0.00;1.00;1.15;26.00;1.00;0.28;0.50;0.42;0.26;0.42
2;7;2;450;11.30;34.30;8.60;0.00;2.80;1.00;1.15;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;7;3;300;7.50;25.10;6.30;0.00;1.90;1.00;1.15;14.40;0.60;0.28;0.50;0.42;0.62;6.0e-03
2;7;4;720;18.00;53.40;13.40;0.00;0.00;1.00;0.90;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;8;1;800;20.50;51.60;12.90;15.66;0.00;1.00;1.15;26.00;1.00;0.28;0.50;0.42;0.26;0.42
2;8;2;800;20.00;51.60;12.90;0.00;4.90;1.00;1.15;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
2;8;3;560;14.00;38.90;9.70;0.00;3.50;1.00;1.15;21.60;0.60;0.28;0.50;0.42;0.62;6.0e-03
2;8;4;1050;26.30;69.80;17.40;0.00;0.00;1.00;0.85;26.00;1.00;0.28;0.50;0.42;0.54;6.0e-03
3;1;2;45;1.20;4.00;1.00;0.00;0.30;1.00;1.20;26.00;0.16;0.28;0.50;0.42;0.54;6.0e-03
